Date,Open,High,Low,Close,Adj Close,Volume
20/04/2022,41501.74609,42126.30078,40961.09766,41374.37891,41374.37891,27819532341
21/04/2022,41371.51563,42893.58203,40063.82813,40527.36328,40527.36328,35372786395
22/04/2022,40525.86328,40777.75781,39315.41797,39740.32031,39740.32031,28011716745
23/04/2022,39738.72266,39935.85938,39352.20313,39486.73047,39486.73047,16138021249
24/04/2022,39478.375,39845.92578,39233.53906,39469.29297,39469.29297,17964398167
25/04/2022,39472.60547,40491.75391,38338.37891,40458.30859,40458.30859,35445730570
26/04/2022,40448.42188,40713.89063,37884.98438,38117.46094,38117.46094,34569088416
27/04/2022,38120.30078,39397.91797,37997.3125,39241.12109,39241.12109,30981015184
28/04/2022,39241.42969,40269.46484,38941.42188,39773.82813,39773.82813,33903704907
29/04/2022,39768.61719,39887.26953,38235.53516,38609.82422,38609.82422,30882994649
30/04/2022,38605.85938,38771.21094,37697.94141,37714.875,37714.875,23895713731
1/05/2022,37713.26563,38627.85938,37585.78906,38469.09375,38469.09375,27002760110
2/05/2022,38472.1875,39074.97266,38156.5625,38529.32813,38529.32813,32922642426
3/05/2022,38528.10938,38629.99609,37585.62109,37750.45313,37750.45313,27326943244
4/05/2022,37748.01172,39902.94922,37732.05859,39698.37109,39698.37109,36754404490
5/05/2022,39695.74609,39789.28125,35856.51563,36575.14063,36575.14063,43106256317
6/05/2022,36573.18359,36624.35938,35482.13281,36040.92188,36040.92188,37795577489
7/05/2022,36042.50391,36129.92578,34940.82422,35501.95313,35501.95313,24375896406
8/05/2022,35502.94141,35502.94141,33878.96484,34059.26563,34059.26563,36763041910
9/05/2022,34060.01563,34222.07422,30296.95313,30296.95313,30296.95313,63355494961
10/05/2022,30273.6543,32596.30859,29944.80273,31022.90625,31022.90625,59811038817
11/05/2022,31016.18359,32013.40234,28170.41406,28936.35547,28936.35547,70388855818
12/05/2022,28936.73438,30032.43945,26350.49023,29047.75195,29047.75195,66989173272
13/05/2022,29030.91016,30924.80273,28782.33008,29283.10352,29283.10352,42841124537
14/05/2022,29285.64258,30192.80273,28702.91016,30101.26563,30101.26563,28579868620
15/05/2022,30098.58594,31308.19141,29527.74023,31305.11328,31305.11328,25835372065
16/05/2022,31304.375,31305.3418,29251.88477,29862.91797,29862.91797,32613897286
17/05/2022,29862.4082,30694.49023,29570.30273,30425.85742,30425.85742,29101473475
18/05/2022,30424.47852,30618.7168,28720.27148,28720.27148,28720.27148,31285268319
19/05/2022,28720.35938,30430.75195,28708.95508,30314.33398,30314.33398,33773447707
20/05/2022,30311.11914,30664.97656,28793.60547,29200.74023,29200.74023,30749382605
21/05/2022,29199.85938,29588.86914,29027.39453,29432.22656,29432.22656,17274840442
22/05/2022,29432.47266,30425.86133,29275.18359,30323.72266,30323.72266,21631532270
23/05/2022,30309.39648,30590.58594,28975.56055,29098.91016,29098.91016,31483454557
24/05/2022,29101.125,29774.35547,28786.58984,29655.58594,29655.58594,26616506245
25/05/2022,29653.13477,30157.78516,29384.94922,29562.36133,29562.36133,27525063551
26/05/2022,29564.77734,29834.16016,28261.90625,29267.22461,29267.22461,36774325352
27/05/2022,29251.14063,29346.94336,28326.61328,28627.57422,28627.57422,36582005748
28/05/2022,28622.625,28814.90039,28554.56641,28814.90039,28814.90039,35519577634
29/05/2022,29019.86719,29498.00977,28841.10742,29445.95703,29445.95703,18093886409
30/05/2022,29443.36523,31949.63086,29303.57227,31726.39063,31726.39063,39277993274
31/05/2022,31723.86523,32249.86328,31286.1543,31792.31055,31792.31055,33538210634
1/06/2022,31792.55469,31957.28516,29501.58789,29799.08008,29799.08008,41135817341
2/06/2022,29794.89063,30604.73438,29652.70508,30467.48828,30467.48828,29083562061
3/06/2022,30467.80664,30633.03516,29375.68945,29704.39063,29704.39063,26175547452
4/06/2022,29706.13867,29930.56445,29500.00586,29832.91406,29832.91406,16588370958
5/06/2022,29835.11719,30117.74414,29574.44922,29906.66211,29906.66211,17264085441
6/06/2022,29910.2832,31693.29102,29894.1875,31370.67188,31370.67188,31947336829
7/06/2022,31371.74219,31489.68359,29311.68359,31155.47852,31155.47852,40770974039
8/06/2022,31151.48047,31253.69141,29944.4043,30214.35547,30214.35547,30242059107
9/06/2022,30215.2793,30609.31055,30020.26563,30111.99805,30111.99805,21692004719
10/06/2022,30110.33008,30245.80859,28978.14648,29083.80469,29083.80469,29867476527
11/06/2022,29084.66602,29401.91602,28236.21289,28360.81055,28360.81055,27246574439
12/06/2022,28373.51367,28502.68555,26762.64844,26762.64844,26762.64844,34163220274
13/06/2022,26737.57813,26795.58984,22141.25781,22487.38867,22487.38867,68204556440
14/06/2022,22487.98633,23018.95117,20950.81836,22206.79297,22206.79297,50913575242
15/06/2022,22196.73047,22642.67188,20178.37695,22572.83984,22572.83984,54912007015
16/06/2022,22576.30469,22868.92188,20265.22656,20381.65039,20381.65039,31183975654
17/06/2022,20385.71875,21243.3125,20326.51953,20471.48242,20471.48242,27132421514
18/06/2022,20473.42578,20736.04102,17708.62305,19017.64258,19017.64258,42009436760
19/06/2022,19010.90234,20683.82227,18067.15234,20553.27148,20553.27148,35329942625
20/06/2022,20553.37109,20913.32227,19689.16992,20599.53711,20599.53711,30818458597
21/06/2022,20594.29492,21620.62891,20415.0625,20710.59766,20710.59766,28970212744
22/06/2022,20719.41406,20835.75,19848.07813,19987.0293,19987.0293,28574793478
23/06/2022,19986.60742,21135.76172,19950.11719,21085.87695,21085.87695,26188097173
24/06/2022,21084.64844,21472.91797,20777.51172,21231.65625,21231.65625,24957784918
25/06/2022,21233.60938,21520.91406,20964.58594,21502.33789,21502.33789,18372538715
